id,uuid,name,description,state,system_tags,user_tags,last_reading_at,added_at,updated_at,mac_address,username,avatar,url,joined_at,city,country,country_code,device_ids,recorded_at,ip,exposure,elevation,latitude,location_longitude,geohash,sensors,slug,created_at,Location
364,2e8e62eb-ddfc-4008-8524-339e1009e585,#8 Exhibitor showcase,IOTWF 8 - ID: 39:93,has_published,System.String[],System.String[],10/31/2013,10/25/2013,10/10/2015,[FILTERED],iotwf,https://images.smartcitizen.me/s100/avatars/389-cisco_logo_small-1.png,,10/25/2013,Barcelona,Spain,ES,System.Int32[],10/31/2013,,indoor,25,41.38627,,sp3e3ynskr,Readfromafile.Sensor[],"sck:1,1",2/2/2015,
182,b12f7b17-423f-4656-abd3-9919521b85e7,papallona,,has_published,System.String[],System.String[],12/4/2013,7/9/2013,7/9/2013,[FILTERED],tallerestiu,https://images.smartcitizen.me/s100/avatars/226-1_img6960.jpg,,7/9/2013,Barcelona,Spain,ES,System.Int32[],12/4/2013,,indoor,0,41.38966,,sp3e6qv05p,Readfromafile.Sensor[],"sck:1,0",2/2/2015,
306,98f0b63d-3700-4f25-b812-80512ff4c82b,O Sisto,,not_configured,System.String[],System.String[],,9/14/2013,9/14/2013,[FILTERED],,,,1/1/0001,,,,,,,outdoor,27,,,,Readfromafile.Sensor[],"sck:1,0",2/2/2015,
3355,51b31a16-25fc-4b49-b2aa-c3dc1d9a8a1a,Max Home,,has_published,System.String[],System.String[],6/16/2017,5/4/2016,4/17/2017,[FILTERED],Swoosh,https://smartcitizen.s3.amazonaws.com/avatars/default.svg,,10/22/2015,Berlin,,,System.Int32[],6/16/2017,,outdoor,,52.53745,,u33dbs1uz5,Readfromafile.Sensor[],"sck:1,1",2/2/2015,
2251,04ed979f-8525-4fcd-8db6-c2520782c2fd,York School SC3,THird sensor that may be mobile,never_published,System.String[],System.String[],,5/19/2015,10/10/2015,[FILTERED],YorkSC1,https://smartcitizen.s3.amazonaws.com/avatars/default.svg,www.yorkschool.com,4/16/2015,Toronto,Canada,CA,System.Int32[],,,indoor,300,43.68472,,dpz892ecgm,Readfromafile.Sensor[],"sck:1,0",2/2/2015,
3960,96a27b7f-a539-44ad-be6e-e9b09ef4d1a2,Sentilo Noise T240710,BCN CESVA TA120 farola amb AP26 polling data from Sentilo http://connecta.bcn.cat/connecta-catalog-web/component/CESVA.TA120-T240710/detail,has_published,System.String[],System.String[],4/6/2018,12/7/2016,12/7/2016,[FILTERED],pral2a,https://images.smartcitizen.me/s100/avatars/b4b/1cubnsr.lab.png,http://pral2a.com,6/6/2013,Barcelona,Spain,ES,System.Int32[],4/6/2018,,outdoor,,41.37488,,sp3e3h5fhh,Readfromafile.Sensor[],"ms:0,6",6/17/2016,
3421,9b94be28-d2c1-4be6-bd24-f178636a9cc7,victorDEV4,testing... again3,has_published,System.String[],System.String[],12/12/2016,6/2/2016,1/24/2017,[FILTERED],vico,https://smartcitizen.s3.amazonaws.com/avatars/default.svg,,2/4/2016,Barcelona,Spain,ES,System.Int32[],12/12/2016,,outdoor,,41.39659,,sp3e9bjbx6,Readfromafile.Sensor[],"sck:1,1",2/2/2015,
2716,56e0fba6-81dc-4c6f-9af5-c169a7b85a32,FABLAB ATACAMA - AIS SENSOR 02,Sensor ubicado en el colegio Antofagasta International School,not_configured,System.String[],System.String[],,11/25/2015,11/26/2015,[FILTERED],salex,https://images.smartcitizen.me/s100/avatars/886/1b6eoak.santiago-300x300.jpg,http://www.fablabatacama.cl/,11/21/2015,Antofagasta,,,System.Int32[],,,outdoor,0,-23.65093,,67vcqn6p77,Readfromafile.Sensor[],,1/1/0001,
2664,dd29d99e-3998-42ab-8a6e-f7ecd964ad25,anoir,,never_published,System.String[],System.String[],10/30/2015,10/30/2015,11/26/2015,[FILTERED],anoir,https://smartcitizen.s3.amazonaws.com/avatars/default.svg,,10/20/2015,Montréal,,,System.Int32[],10/30/2015,,indoor,22,45.49516,,f25dy41hw1,Readfromafile.Sensor[],,1/1/0001,
1843,6b8451d4-9d29-43f6-b91c-207c359d61e0,FabLab Budapest,We at FabLab Budapest have become Smart Citizens! :),has_published,System.String[],System.String[],5/23/2016,11/24/2014,10/10/2015,[FILTERED],fablabbudapest,https://smartcitizen.s3.amazonaws.com/avatars/default.svg,fablabbudapest.com,11/24/2014,Budapest,Hungary,HU,System.Int32[],5/23/2016,,indoor,0,47.50755,,u2mw3b2ze1,Readfromafile.Sensor[],"sck:1,1",2/2/2015,
