id,uuid,name,description,state,system_tags,user_tags,last_reading_at,added_at,updated_at,mac_address,owner,data,kit
3,3a55c994-927a-4a2e-8f92-2252f9459ba5,SCK Hospitalet,bbbb,has_published,System.Object[],System.Object[],3/24/2014,5/29/2013,10/27/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
12,21631212-8633-450e-bd44-f36202d864f6,Parisien Sensor,Test from Paris waking up,has_published,System.Object[],System.Object[],4/24/2013,4/23/2013,3/29/2014,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
28,856e9670-03d1-481e-b9c5-6bf16474d993,Manyi_08230,"Desde el 3/5/13: en exterior.
Emplazamiento: Zona arbolada en limite de Parque Natural Sant LlorenÃ§.
Situado a unos 60m de la calle con trafico mas prÃ³xima.

ColocaciÃ³n sensor: desde ahora; 2/4/14 en caja kit.
Situado bajo placa solar.

AlimentaciÃ³n del sensor: Desde el 19/05/2013, conectado a placa solar de 12V-610mA Ref: ET-M53610 encarada a 182 Sur, con unos 45grados de inclinaciÃ³n. Desde 2/4/14, sin placa solar, alimentado permanente con alimentador.",has_published,System.Object[],System.Object[],4/4/2014,4/24/2013,4/2/2014,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
29,88e15797-68c6-451f-ab03-c0d64472e5dc,Parc de l'Escorxador,,has_published,System.Object[],System.Object[],12/23/2015,4/24/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
31,66f3ce54-19b3-4632-8d5f-5bc8fd8c4786,SCK Tamarit,Transmitiendo desde Tamarit.,has_published,System.Object[],System.Object[],5/20/2013,4/24/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
35,5b3950a2-e941-43a9-bd37-b8b2bdfd7a15,SCK Bordils v1.0,,has_published,System.Object[],System.Object[],4/17/2014,4/24/2013,10/19/2013,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
38,527f3179-2f80-4ac3-b919-f2927d126b5b,Oriol's kit,dsfds,has_published,System.Object[],System.Object[],11/8/2013,4/25/2013,6/1/2013,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
41,146e480c-0c9d-4e1b-9e47-8da4d7aea05c,SCK Hangar,,has_published,System.Object[],System.Object[],3/27/2014,4/25/2013,5/29/2013,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
47,34f67526-4ba0-4127-a2f1-bd2bc7741e91,Laia at Citilab,,has_published,System.Object[],System.Object[],12/10/2014,4/26/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
48,911ecb21-1854-4cb8-af86-8db8b4a6b600,Meteoro,My home SCK is a new way to share.,has_published,System.Object[],System.Object[],10/27/2013,4/26/2013,8/6/2014,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
52,ea815900-c735-4a48-88eb-3e1983c4dd9e,Born - Sant Agusti Vell,,has_published,System.Object[],System.Object[],6/28/2013,4/28/2013,10/10/2015,[FILTERED],ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject,ChoETL.ChoDynamicObject
